Entrada,paginas,Gall,Port,Fr,Val,Cat,Prov,Cast,Mall,Vasc,Lat,Rum,Alb,It
EXCUÁDRA,191,None,esquadria,None,escuadría,y,None,escuadra,None,escuadrea,squadra,None,None,None
EXCÚLYO,191,None,None,écueil,escoll,escoll,escuelh,escollo,None,None,None,None,None,None
EXPÁROS,191,None,sparo,spare,None,None,sperlin,esparo,None,None,sparus,None,None,None
EXPÁRRACO,192,None,None,None,None,None,None,None,None,None,None,None,None,None
EXPARRAGÁIRA,192,None,None,None,esparegar,None,None,esparragal,None,None,asparagarius,None,None,None
EXPARTÉL,192,None,esparta,sparte,es,None,espart,esparta,None,ezpartzuá,spartarium,None,None,sparto
EXPATHÁNA,193,espadáina,espadaña,None,None,espadanya,None,espadaña,None,ezpataiña,Gr,None,None,None
EXPATHELLA,193,espádela,None,None,y,None,None,espadilla,None,None,None,None,None,None
EXPECULATHÓR,194,None,None,speculateur,None,None,especulatour,especular,None,None,None,None,None,sfeculatore
EXPÍCO,194,None,espiga,épi,None,None,espiga,None,None,None,spicaj,None,None,spiga
EXQUERDO,196,esquerdo,esquerdo,None,esquerr,esquer,esquer,izquierdo3,None,ezquer,sccevus,None,None,None
EXQUÉRO,196,esqueiro,isca,None,esquer,esquer,None,esquero,None,None,escarius,None,None,y
EXQUÍL,196,None,esquilla,scille,None,None,esquilla,escila,None,None,None,None,None,scilla
EXQUÍTHAN,196,None,None,None,None,None,None,agracejo,None,None,Farm,None,None,None
EXTÍP,197,esteva,esteva,None,estepa,None,None,jara,None,estepa,None,None,None,None
FÁBA,199,None,None,None,None,y,é,haba,None,None,Jaba,bob,None,None
FACÓN,199,None,None,None,None,None,None,None,None,None,None,None,None,None
FAQQUÍYA,200,pescozo,pescozada,None,collada,None,None,pescozada,None,None,alapa,None,None,None
FACHADOR,200,None,None,None,None,jaxador,None,fajero,None,None,None,None,None,None
FACHÁÍRA,200,None,facha,é,fag,y,facha,None,None,None,None,None,None,faceta
FAGÜÍNA,201,None,é,None,None,None,None,None,None,None,None,None,None,None
FÁLYA,201,None,None,é,None,None,pila,None,None,pilla,None,None,None,None
FAMA,202,None,None,None,None,None,None,None,None,famea,Gr,None,None,None
FANÁR,202,None,None,None,None,None,None,None,None,None,None,None,None,None
FANDÚRA,202,None,bandurra,None,y,bandurria,None,pandur,None,bandurria,None,None,None,None
FÁRA,203,None,fárfara,None,None,None,None,cameleuca,None,None,de,None,None,None
FARATHERÍA,203,None,None,None,None,None,None,None,None,None,fratreia,None,None,None
FARCAN,203,None,None,None,None,None,None,None,None,None,None,None,None,None
FARDÁL,203,None,farte,None,None,None,None,fartal,None,None,fartum,None,None,None
FÁRFARA,204,None,None,None,None,None,None,None,None,None,None,None,None,None
FARFAX,204,None,None,farfouiller,None,None,farfornar,None,None,None,None,None,None,None
FARO,204,None,é,phare,None,far,pharo,faron,None,None,faronus,None,None,faro
FAROS,204,None,None,None,None,None,None,None,None,None,None,None,None,None
FARTHÓN,205,None,None,None,None,None,None,None,None,None,None,None,None,None
FASQUÍYA,205,None,None,None,None,None,None,None,None,None,None,None,None,None
FASSAL,205,None,None,None,None,None,None,None,None,None,fas,None,None,None
FÁTHA,205,jéa,jada,y,hada,None,jada,hada,None,None,jada,None,None,jata
FAUCHEL,206,None,None,faucille,None,None,None,hoz,None,None,faucilia,None,None,None
FAUNÍA,206,None,None,None,None,None,None,None,None,None,None,None,None,None
FÁXXA,206,None,None,None,None,None,None,None,None,None,None,None,None,None
FAXCAL,206,None,None,None,None,None,None,None,None,None,None,None,None,None
FÁXCAR,207,None,fascal,None,None,None,None,None,None,None,None,None,None,None
FAXÓR,207,None,None,del,None,None,None,ALFA,None,None,vinum,None,None,None
FAXXAX,208,None,None,None,None,None,None,None,None,None,None,None,None,None
FÁYO,208,faya,faia,y,fáig,faitg,faya,haya,None,None,Gr,fag,None,faggio
FAYSÁN,208,None,fais,faisán,faisa,faisa,faisán,None,None,None,fasanus,None,None,fagiano
FAYYÁXA,208,None,None,j,y,None,y,y,None,frascoa,None,None,None,None
FELATHURA,210,None,melladura,poil,None,peí,peí,y,None,biloá,pilatura,per,None,None
FELCHA,210,None,None,None,None,y,None,None,None,None,None,None,None,None
FERIA,211,None,féira,None,Jira,Jira,féira,y,None,None,joria,None,None,fiera
FERRÁTH,211,None,ferrete,None,None,fer,None,ferrete,None,None,None,None,None,None
FERRÁTHA,211,None,None,None,None,None,None,None,None,None,None,None,None,None
FERRÉIRA,211,y,None,None,None,None,None,None,None,None,ferraria,None,None,ggr
FERREIRÚLA,212,None,None,None,None,None,None,None,None,None,None,None,None,None
FERRÍX,212,None,None,None,ferrija,None,None,None,None,None,None,None,None,None
FERRIXÉL,212,None,None,None,None,None,None,herrezuelo,None,None,None,None,None,None
FERRO,212,None,é,fer,H,ferré,ferré,None,None,None,ferrum,fer,None,None
FERRÓCH,212,None,None,None,None,None,None,None,None,None,None,None,None,None
FERTHÁS,213,None,None,None,None,None,None,None,None,None,None,None,None,None
FEUNÍA,213,None,None,None,None,None,None,None,None,None,None,None,None,None
FÉXTA,213,None,y,fétey,None,None,None,None,None,None,fesíum,None,None,None
FICÁRIA,213,None,figueira,None,None,None,figueira,None,None,None,None,None,None,None
FICARÓLA,213,None,None,None,None,None,None,higueruela,None,None,None,None,None,None
FÍCO,213,None,y,None,figa,None,figa,y,None,None,jfc,None,None,None
FIELI,214,None,None,None,None,None,None,None,None,None,None,None,None,None
FIERRO,214,None,None,None,None,None,None,None,None,None,None,None,None,None
FIGERÓLA,214,None,None,None,N,None,None,None,None,None,None,None,None,None
FIGUEIRÓLA,214,None,None,None,None,None,None,None,None,None,None,None,None,None
FILACTÉRIA,214,None,None,None,None,filactéria,None,filactéria,None,None,filaterium,None,None,None
FILÁCH,214,None,None,None,y,None,None,hilazas,None,Hacha,None,None,None,None
FÍLCHA,215,None,None,None,None,None,None,None,None,None,feles,None,None,None
FÍQUE,215,None,None,None,None,None,None,None,None,None,None,None,None,None
FIRMAS,215,None,None,None,None,None,None,None,None,None,None,None,None,None
FIRMÉTHA,215,None,None,fermeté,y,y,None,y,None,None,firmitas,None,None,fermezza
FIRTHÁS,216,None,None,None,None,None,None,None,None,None,None,None,None,None
FISONOMÍA,216,None,é,None,fisónom,None,phyr,fisónomo,None,None,physiognomia,None,None,None
FÍXCO,217,None,é,é,None,None,None,None,None,None,None,None,None,fisco
FÍXTULA,217,None,None,None,None,None,None,None,None,None,None,None,None,None
FLEGMÓN,217,y,None,None,None,None,y,y,None,lorea,Gr,None,None,flor
FLORÍN,217,None,None,é,None,y,None,None,None,None,None,None,None,None
FLUM,218,y,None,None,y,None,None,y,None,None,None,None,None,None
FOCCÓN,218,None,None,None,None,None,None,None,None,None,None,None,None,None
FOCO,218,Cast,Cast,feu,joch,jog,y,Cast,None,None,foeus,None,None,foeo
FOGÓN,218,é,falcáo,faueon,faleó,faleó,fale,haleon,None,None,None,None,None,faleone
FOCHLÁIRA,219,None,None,None,None,None,None,fruslera,None,None,joliarius,None,None,None
FÓCHO,219,None,None,None,None,None,None,None,None,None,None,None,None,None
FOLÉYO,219,None,None,None,None,None,None,polígala,None,None,polygala,None,None,None
FOLIO,220,folia,y,feuille,fulla,fulla,fuelha,foja,None,None,None,None,None,foglia
FOLLAR,220,None,None,None,None,None,None,None,None,None,None,None,None,None
FOLLUZ,221,None,None,None,None,None,None,None,None,None,None,None,None,None
FOLUÉTHA,221,None,None,None,None,None,None,None,None,None,None,None,None,None
FONCOJ,221,None,None,None,None,None,None,hongo,None,ontoa,functís,None,None,None
FONDÓN,221,None,None,None,é,None,None,hondón,None,ondoa,None,None,None,fondo
FONT,221,None,None,None,None,None,None,None,None,None,None,None,None,None
FONTÁNA,221,jontáiña,jontáiña,None,None,None,y,poético,None,None,fontana,None,None,y
FONTANÉLLA,222,None,None,None,None,None,None,é,None,None,None,None,None,None
FÓNTE,222,fonte,fonte,None,font,None,font,fuente,None,None,jons,None,None,None
FONTECHÉLLA,222,None,None,None,None,None,None,fontezuela,None,None,None,None,None,None
FONTÍN,223,fontiña,fontinha,None,None,None,None,None,None,None,None,None,None,None
FONTINELLA,223,None,None,None,None,None,None,None,None,None,None,None,None,None
FORÁNICO,223,None,None,None,None,None,None,None,None,None,None,None,None,None
FORATÉLLO,224,None,None,None,None,None,None,fora,None,None,None,None,None,None
FORÁTH,224,forado,furado,forer,None,y,None,forado,None,None,foratus,None,None,forato
FORÁTO,224,None,None,None,None,None,None,None,None,None,None,None,None,None
FÓRCA,224,None,None,fourche,None,None,é,horca,None,None,None,furca,None,None
FORCÁXA,225,None,None,None,None,None,fourcas,None,None,None,None,None,None,None
FORCÓN,225,None,None,None,jurgó,None,fourchoun,horcón,None,urculloa,None,None,None,forcone
FORGOLÉTH,226,None,é,None,None,None,None,fraga,None,None,fragoletum,None,None,None
FÓRMA,226,None,None,None,None,None,None,horma,None,None,forma,None,None,None
FORMÁTHA,227,None,None,None,None,None,None,None,None,None,de,None,None,None
FORNÁCH,228,None,None,None,None,None,None,None,None,None,None,None,None,None
FORNÁCHO,228,y,None,fourneau,None,None,fornelh,hornacho,None,None,None,None,None,forna
FORNACHÓLO,229,forneiro,forneiro,None,forne,forne,None,hornero,None,None,None,None,None,None
FORNATILA,229,None,None,None,None,None,None,hornachuela,None,None,fornacula,None,None,None
FORNAXÉR,229,None,None,None,None,None,None,None,None,None,None,None,None,None
FORNÁYR,229,None,None,None,None,None,None,None,None,None,None,None,None,None
FÓRNO,229,None,é,None,None,None,None,horno,None,None,None,None,None,None
FÓRO,230,None,None,fourreau,None,y,fourréu,aforro,None,None,fodera,None,None,fodera
FORONTÁL,230,None,None,None,None,None,None,None,None,None,None,None,None,None
FORRÍN,230,None,None,None,None,None,None,None,None,None,pórrigo,None,None,None
FORTUNA,230,None,None,None,None,None,None,None,None,None,None,None,None,None
FÓXCA,231,None,None,None,None,None,None,None,None,None,None,None,None,None
FÓYO,231,focha,foio,None,None,mod,None,y,None,None,fogia,None,None,None
FRAGA,231,fraga,fraga,None,y,None,None,None,None,None,fraga,None,None,None
FRAGELLA,231,None,None,None,None,None,None,None,None,None,None,None,None,None
FRANCOLÍN,231,None,francolim,None,francoli,francoli,francoula,y,None,None,francolinus,None,None,fran
FRÁXINO,232,y,None,fraisne,None,freija,y,fresno,None,None,frassinus,None,None,frassino
FRÍCHA,232,None,None,frise,None,None,é,None,None,None,None,None,None,frisa
FRÍDA,232,None,None,None,None,None,None,None,None,None,None,None,None,None
FRÍDO,232,frido,é,froid,freí,y,freí,frido,None,None,frigidus,None,None,frigido
FRONTÁIRA,232,fron,fron,frontiere,frontera,frontera,é,None,None,None,frontaria,None,None,frontiera
FRONTAL,233,None,y,frontal,None,None,None,None,None,None,None,None,None,None
FUÉNCO,233,None,None,None,None,None,None,None,None,None,fucus,None,None,None
FUÉNT,233,None,None,None,None,None,None,None,None,None,None,None,None,None
FULLIÍN,233,None,None,None,None,None,None,hollin,None,None,fuligo,fu,None,None
FULÚMEN,234,None,None,None,None,None,None,None,None,None,None,None,None,None
FUNGO,234,None,None,None,None,None,None,None,None,None,None,None,None,None
FUNDA,234,None,None,None,y,None,None,None,None,None,None,None,None,fonda
FUNUAMENTO,235,None,None,fondement,y,None,fonda,y,None,None,fundamentum,None,None,fondamento
FURFÚLLA,235,None,None,furfure,None,None,None,fórfolas,None,None,fúrfures,None,None,fórfora
FÚRFURA,235,None,púrpura,pourpre,None,None,porpra,None,None,None,púrpura,None,None,pórpora
FURTOBÍB,235,None,None,None,None,None,None,None,None,None,None,None,None,None
FÚXCA,235,None,é,None,fosch,fosch,None,hosco,None,None,None,None,None,fosco
FUXIEL,236,None,jusellos,juseau,jusello,None,y,husillo,None,None,fúsela,None,None,fusaiuolo
FUXTÁL,236,None,None,None,None,None,None,None,None,None,None,None,None,None
FUXTUL,237,None,None,None,None,None,None,None,None,None,None,None,None,None
GÁBIA,239,None,gávea,gabie,gavia,None,gábia,gavia,None,None,gabia,None,None,gabbia
GÁCHTO,239,None,é,guede,None,None,None,None,None,None,V,None,None,glasto
GÁITHA,239,None,None,None,None,None,None,None,None,None,None,None,None,None
GAL,239,None,None,None,None,None,pal,gáleo,None,None,Gr,None,None,None
GALACHO,239,None,None,None,None,None,None,None,None,None,None,None,None,None
GÁLIBA,239,None,None,None,None,None,None,None,None,None,de,None,None,None
GALIÓN,240,None,galeao,galion,None,galio,galion,galeón,None,galeoya,gáleo,None,None,None
GALIÓTHA,241,None,None,gallote,None,galioía,galioía,None,None,y,galeota,None,None,None
GALLA,241,None,None,noix,agalla,gala,é,agalla,None,None,galla,None,None,galla
GÁLLIA,241,None,Gallla,None,None,None,None,Galia,None,None,Gallla,None,None,None
GALLICÁCHACH,241,None,None,None,None,None,None,None,None,None,Galll,None,None,None
GALLICRÍCHA,241,None,None,None,None,None,None,None,None,None,None,None,None,None
GALLÍNA,241,galiña,galllnha,géllne,None,None,gallna,None,None,None,gallina,galna,None,None
GALLÍXCO,241,galo,é,None,y,None,gal,greguisco,None,None,gallus,None,None,None
GANCHO,242,gincho,ganxo,None,ganjo,ganxo,ganche,y,None,None,None,None,None,gand
GARAINÓN,243,None,None,None,None,None,None,gra,None,None,granum,None,None,None
GARÁNA,243,y,ra,grenouille,granota,granota,graniola,é,None,None,None,None,None,rana
GARBEL,244,None,None,None,None,None,None,arpella3,None,None,harpella,None,None,None
GARGONTÍA,244,None,None,None,None,None,None,None,None,None,None,None,None,None
GARNACHA,244,None,garnacha,garnache,garnaja,garnatxa,garnacha,guarnir,None,garnachea,garnacia,None,None,None
GARNÁDHA,245,None,None,None,None,None,None,None,None,None,None,None,None,None
GARNATHÍLLA,245,None,None,None,None,None,None,None,None,None,None,None,None,None
GARNATÍLLA,245,None,None,None,None,None,None,None,None,None,None,None,None,None
GARSÓN,245,None,gar,garlón,garg,garsó,garsou,garzón,None,None,gardo,None,None,garzone
GASCUÑA,245,None,None,None,None,None,None,None,None,None,None,None,None,None
GATA,246,None,None,None,None,None,None,None,None,None,None,None,None,None
GÁTHO,246,None,None,None,None,None,None,None,None,None,None,None,None,None
GATTÁIRA,246,None,gateira,chatiere,gatera,gatera,gañera,None,None,None,gattarius,None,None,None
GATTAR,246,None,None,None,None,None,None,gatear,None,None,None,None,None,None
GATTEL,247,gatiño,gatiño,Gattel,y,None,None,None,None,None,catellus,None,None,None
GAUDZAN,247,ganar,ganar,gagner,guanyar,guanyar,gaaniar,ganar,None,None,None,None,None,None
GÁUN,248,None,None,None,None,None,None,None,None,None,None,None,None,None
GAXALYÁN,248,None,None,None,None,None,None,None,None,None,gasalianis,None,None,None
GAXCÓN,249,None,vasquinha,None,None,None,None,basquina,None,None,Vasco,None,None,None
GAXCUNIA,249,None,Gascunna,Gascogne,None,None,None,Gascuña,None,None,Vasconia,None,None,None
GÁYTA,249,None,None,None,None,None,None,None,None,None,None,None,None,None
GAYUBÉL,249,None,None,None,None,None,None,None,None,None,None,None,None,None
GIRIVÍA,249,churuvía,AL,None,None,None,None,chirivía,None,None,None,None,None,None
GLORIA,250,None,None,gloire,None,None,None,None,None,loria,None,None,None,gloria
GÓCO,250,None,goivo,None,goig,gotj,gáud,y,None,gozoa,gaudium,None,None,gaudio
GODIÉLLA,250,None,None,None,None,None,None,None,None,None,None,None,None,None
GÓLGOTHA,250,None,é,gomme,goma,goma,gouma,Gólgota,None,None,gu,None,None,None
GOMBÁZ,250,None,None,None,None,None,None,None,None,None,None,None,None,None
GONDORÍNA,251,andoriña,andorinha,hiron,oronella,aureneta,hirunda,andolina,None,None,None,rindune,None,hirondine
GÓRDHO,252,None,gordo,gour,gort,None,gort,gordo,None,None,gurdus,None,None,None
GORDOMÁN,252,None,None,None,None,None,None,None,None,None,None,None,None,None
GORGÁYRA,252,None,gorja,gorgere,gor,None,é,gor,None,None,gorgale,None,None,gorgiera
GÓRGO,252,None,None,gour,None,gorg,gorc,None,None,None,gorga,None,None,gorgo
GORGÓTE,253,None,None,None,None,None,None,None,None,None,None,None,None,None
GÓTHA,253,None,gota,None,None,None,gota,None,None,None,guta,y,None,goíía
GRAFIÓN,253,None,None,greffe,None,None,graji,grafio,None,None,graffio,None,None,None
GRÁMEN,253,None,grama,gramen,y,y,None,y,None,None,None,None,None,gramigna
GRANÁTA,254,None,None,None,None,None,None,None,None,None,None,None,None,None
GRANATELLA,254,None,None,None,None,None,None,None,None,None,None,None,None,None
GRANÁTHA,254,None,None,None,magrana,magrana,granada,mal,None,None,None,None,None,None
GRECO,254,None,None,None,Greg,Greg,None,Griego,None,None,Grcecus,None,None,Greco
GRÉNIA,254,crechas,crenchas,None,clenja,clenxa,None,crenche,None,None,crinicula,None,None,None
GRUYA,255,None,grou,None,pl,None,é,grulla,None,curulloa,None,grue,None,grúa
GUEDEJA,255,gadella,gadelha,None,vedilla,None,None,guardaja,None,None,villicula,None,None,None
GUERRA,255,None,None,guerre,None,None,é,None,None,guerrea,guerra,None,None,None
GUGÍTA,256,None,None,None,None,None,None,None,None,None,None,None,None,None
GUINDA,256,None,ginja,guigne,guinda,guinda,guinier,guinda,None,guinda,None,None,None,None
GURDU,258,None,gordo,None,None,None,None,gordo,None,None,None,None,None,None
GURRIÉLLA,258,None,None,None,None,None,None,poligonato,None,None,del,None,None,None
GÚSTHO,258,y,None,None,None,None,g,é,None,gustoa,None,gust,None,gusto
HÁCCA,259,None,None,None,None,None,None,None,None,None,None,None,None,None
HACHO,259,y,None,None,haja,atxa,None,hacha,None,None,None,fdclte,None,faceita
HAILEMA,259,None,celeuma,None,None,None,None,saloma,None,None,Gr,None,None,None
HALDA,260,jaldra,jaldra,None,None,None,é,halda,None,None,None,None,None,jalda
HALLELTJYA,260,None,None,None,None,None,None,None,None,None,alleluia,None,None,None
HALÓN,261,None,None,None,None,None,None,None,None,None,None,None,None,None
HAMMÉDA,261,None,None,None,None,None,None,None,None,None,None,None,None,None
HAPAPÁURA,262,None,None,None,None,None,None,None,None,None,None,None,None,None
HÁQQUA,262,y,hacanea,haque,haca,haca,haqueneya,moá,None,None,hakeneius,None,None,acchinea
HARABULJ,263,None,orla,None,None,None,orle,orilla,None,None,orula,None,None,orlo
HARDÁL,264,None,None,None,None,None,None,None,None,None,None,None,None,None
HATHRÁCH,265,fadraga,None,None,None,None,None,None,None,None,None,None,None,None
ÍÍAURÍYA,266,None,corea,choree,None,None,None,corea,None,None,None,hora,None,carola
HELÓNIA,266,None,None,None,None,None,None,None,None,None,Gr,None,None,None
HERÍNGA,266,None,xeringa,seringue,eixe,xeringa,seringa,jeringa,None,None,syringa,None,None,sciringa
CÁLLOX,267,None,None,None,None,None,None,None,None,None,None,None,None,None
HIÉL,267,None,y,None,None,None,y,hiél,None,None,fel,None,None,None
HÍLIA,267,fel,fel,None,None,None,None,hiél,None,None,None,None,None,None
HOLÓNIA,267,None,None,None,None,None,None,None,None,None,None,None,None,None
HORROBÍBAL,267,None,None,None,None,None,None,None,None,None,w,None,None,None
HOXÁNNA,268,None,None,é,None,None,None,None,None,None,osanna,None,None,y
HÚNDEBE,268,None,None,None,None,None,None,None,None,None,None,None,None,None
IBÍX,269,None,None,None,None,None,None,ibéride,None,None,Gr,None,None,None
IBRÁIR,269,None,None,None,None,None,None,None,None,None,None,None,None,None
IBRÍL,269,None,None,None,None,None,None,None,None,None,None,None,None,None
ICRÍXTA,269,None,None,None,None,None,None,None,None,None,None,None,None,None
ICHIMÁYL,269,None,lagrimal,None,None,y,None,lagrimal,None,None,lacrímale,None,None,None
IDOLATRÍA,269,None,None,ido,None,None,é,None,None,None,Gr,None,None,idolatría
IDROMÉLI,269,None,None,hydromel,None,hidromel,None,hidromel,None,None,Gr,None,None,idromele
IFRÁNCIA,269,None,None,None,None,None,None,None,None,None,None,None,None,None
IFRÍCHA,269,None,None,None,None,None,None,None,None,None,None,None,None,None
IGRÍL,269,grito,é,grillan,g,None,g,None,None,quirrilloay,None,None,None,grillo
IGRIQUÍA,270,None,é,G,None,None,Grefa,None,None,None,Grcecia,None,None,None
ILÁCOX,270,None,None,None,None,None,None,None,None,None,None,None,None,None
IMBLÍC,270,embigo,embigo,nombril,llombrigol,llombrigol,embelic,ombligo,None,None,umbilicus,buric,None,ombelico
ÍMNO,270,None,hymno,y,him,him,hymno,himno,None,himnoa,None,None,None,None
IMPERATHÓR,270,None,None,None,None,None,None,None,None,None,None,None,None,None
INDISIÓ,270,None,in,é,indicció,indicció,indicciéu,indicción,None,None,indictio,None,None,None
INDULYENXIA,270,None,indulgencia,é,indulgenfa,None,indulgenfa,endolencias,None,None,indulgentia,None,None,in
INFÁXTO,271,None,é,None,infaust,infaust,None,None,None,None,infaustus,None,None,infausto
INGENIE,271,None,encenias,encénies,None,None,None,encenias,None,None,enc,None,None,None
INQUÍLIA,271,None,inquinar,None,None,None,None,inquinar,None,None,é,None,None,inquinare
IPRÍXMA,271,None,None,None,None,None,None,None,None,None,None,None,None,None
IRXUTA,271,None,None,None,None,None,None,draba,None,None,None,None,None,None
ISCLATHÓN,271,None,None,None,None,None,None,None,None,None,None,None,None,None
ISFÁNCH,271,None,None,None,None,None,None,None,None,None,None,None,None,None
ISFINÁCH,271,None,None,None,None,None,None,None,None,None,None,None,None,None
ISFINCHA,271,None,None,None,None,None,None,None,None,None,None,None,None,None
ISQUILFÉCH,272,None,None,None,None,None,None,None,None,None,None,None,None,None
ISTÍP,273,None,None,None,None,None,None,None,None,None,None,None,None,None
ISTORIA,273,None,historia,histoire,None,None,historia,None,None,None,Gr,None,None,istoria
ITHRÁNCA,273,None,tranca,tronc,None,None,tronc,tranca,None,tranca,trun,trunchiu,trunc,tronco
ITHRAVEXÁIN,273,travesa,tra,None,travesany,travesser,tra,atravesaño,None,travesañoa,None,None,None,None
ITHRAVEXÁIRA,273,None,None,None,tr,tr,None,ca,None,None,transversoria,None,None,None
ITRÁMA,274,None,estrumas,None,None,None,None,None,None,None,truma,None,None,struma
IXCACÓRA,274,None,estomagar,None,estomacar,estomacar,None,estomagar,None,None,None,None,None,None
IXCÁLA,275,None,None,None,None,None,None,None,None,None,None,None,None,None
IXCÁMA,275,None,None,None,None,None,None,None,None,None,squama,None,None,None
IXCAMONÍA,275,None,escamonea,scammonée,None,None,escamonea,None,None,None,Gr,None,None,scamonéa
IXCÁN,275,escaño,escaño,None,None,asco,escanh,escaño,None,None,scannum,scaun,None,scanno
IXCARÍA,275,None,None,None,None,None,None,None,None,None,None,None,None,None
IXCÁURIA,276,None,None,None,None,None,None,None,None,None,None,None,None,None
IXPÁTHA,276,None,None,None,None,None,None,None,None,None,None,None,None,None
IXQUÍL,276,None,None,None,None,None,None,None,None,None,None,None,None,None
IXOUIRLÁT,276,None,None,None,None,None,None,None,None,None,None,None,None,None
IXTÍP,276,None,None,None,None,None,None,None,None,None,None,None,None,None
IZFÁNJA,276,None,None,None,None,None,None,None,None,None,None,None,None,None
ÍZÍLLOX,276,None,None,None,None,None,None,None,None,None,None,None,None,None
IZPARÁNJA,276,None,None,None,None,None,None,None,None,None,None,None,None,None
IZPINÁG,276,None,None,None,None,None,None,None,None,None,None,None,None,None
IZTÍPA,276,None,None,None,None,None,None,None,None,None,None,None,None,None
JAÁRAFÍA,277,None,None,None,None,None,None,None,None,None,None,None,None,None
JABÁYRA,277,AL,None,None,None,None,None,None,None,None,None,None,None,None
JACÍNT,278,None,jacinto,hyac,None,y,None,None,None,None,None,None,None,None
JARÁFAN,278,None,gerifalte,gerfaut,gerifalt,girifalt,girfale,gerifalco,None,None,gerfalchus,None,None,gerfalco
JARBAX,278,None,None,None,None,None,None,None,None,None,None,None,None,None
JARRA,279,None,None,None,None,None,None,None,None,None,None,None,None,None
JASPE,279,None,y,None,id,None,None,None,None,None,Gr,None,None,jáspide
JELIDÓNIA,279,ciridonia,é,chelidoine,None,None,None,golondrinera,None,None,chelidonia,None,None,celidonia
JERÁXA,279,None,None,None,None,None,None,None,None,None,Gr,None,None,None
JORÓN,280,girón,girdo,gueron,None,None,None,girón,None,None,gero,None,None,garone
JULIO,281,None,None,None,None,None,None,None,None,None,None,None,None,None
JUNCARÍL,281,None,None,None,None,None,None,None,None,None,None,None,None,None
JUNIO,281,None,None,None,None,None,None,None,None,None,None,None,None,None
JUNOUÉIRA,281,None,None,None,None,None,None,None,None,None,None,None,None,None
KALB,282,None,None,None,None,None,None,None,None,None,None,None,None,None
KARBEX,282,None,None,None,None,None,None,None,None,None,None,None,None,None
KIRIELEIXÓN,282,None,None,kirie,None,None,kirieeleison,kirieleisón,None,None,Ecl,None,None,None
LABÁCH,283,None,None,None,None,None,None,None,None,None,None,None,None,None
LABÁH,284,None,lá,la,None,None,None,laháx,None,None,illac,None,None,None
LABÁRCA,284,None,None,None,None,None,é,None,None,None,None,None,None,None
LABRUXC,285,None,None,lambruche,None,None,é,None,None,None,labrusca,None,Ijarrusk,lambrusca
LABSÁN,285,None,lámpsana,lampsane,None,None,None,lámpsana,None,None,OJXÍNA,None,None,None
LACÁINA,285,langaña,None,None,llaganya,llaganya,lagagna,p,None,lacaña,lacinia,None,None,None
LÁCCA,285,None,None,None,None,None,None,None,None,None,None,None,None,lacea
LACCÁX,285,None,None,None,None,None,None,None,None,None,None,None,None,None
LÁCOCH,285,None,é,lac,llach,llach,lague,None,None,None,Gr,lac,None,None
LACH,286,None,None,None,None,None,None,None,None,None,None,None,None,None
LACHÁCH,287,None,None,None,None,None,None,None,None,None,None,None,None,None
LACHÁYRA,287,None,None,lucarne,None,lluerna,lucarna,None,None,None,None,None,None,None
LACHCH,287,None,None,None,None,lias,None,lazo,None,None,None,None,None,None
LACHCHÁCH,287,None,luzir,None,Huir,Huir,luzir,lucir,None,None,None,None,None,y
LACHGHÁN,288,None,None,None,None,None,None,None,None,None,None,None,None,None
LÁDAN,288,None,None,None,None,None,None,None,None,None,None,None,None,None
LAFÓNTE,288,None,None,None,None,None,None,None,None,None,None,None,None,None
LAGUÉYNA,288,lula,lula,None,None,None,None,None,None,None,lulligo,None,None,lolligine
LÁIC,289,None,é,lai,laich,laye,é,lego,None,None,None,None,None,laico
LAIRÓN,289,None,None,None,None,None,None,None,None,None,Gr,None,None,None
LAJJAN,289,None,None,None,None,None,None,None,None,None,lax,None,None,None
LAJTHÁCH,289,None,lodo,None,None,llot,None,loda,None,loya,lutum,None,None,loto
LAJTÁIRA,290,None,None,None,None,None,None,cuajaleche,None,None,del,None,None,None
LAJTAIRÓLA,290,None,None,None,None,None,None,None,None,None,lactariola,None,None,None
LAJTÍN,291,None,None,None,None,None,None,None,None,None,lac,None,None,None
LAJTUÉCA,291,None,None,None,None,None,None,None,None,None,de,None,None,None
LÁLLA,291,None,None,None,None,None,None,None,None,None,None,None,None,None
LAMÁCH,291,lamazal,lama,None,None,None,None,lama,None,None,lama,None,None,lama
LAMPAZO,292,None,lampaso,la,llapaga,llapassa,lampoudier,lampazo,None,lapa,None,None,None,None
LANGA,292,None,None,None,None,None,None,None,None,None,None,None,None,None
LANCHA,293,None,None,None,None,None,None,None,None,None,None,None,None,None
LANCHAR,293,None,lagar,None,None,None,None,ggr,None,None,None,None,None,None
LANCHARÓN,293,None,None,None,None,None,None,None,None,None,None,None,None,None
LÁNGAR,294,None,None,None,None,None,None,None,None,None,None,None,None,None
LÁNICA,294,None,None,None,None,None,None,None,None,None,None,None,None,None
LANPREA,294,None,lamprea,lamproie,None,llamprea,lampre,lamprea,None,lampardá,lampreda,None,None,lampreda
LAPA,294,None,None,None,None,None,None,None,None,None,lappaceuSj,None,None,None
LAPÁT,295,None,None,None,None,None,None,None,None,None,None,None,None,None
LAPÉILLA,295,None,None,None,llepa,rébola,None,None,None,None,Gr,None,None,None
LAPÓRIO,296,None,None,None,None,None,None,lapa,None,lapa,None,None,None,None
